gene
STT3B
HHEX
PNN
OLA1
RBM6
GPX1
COX17
TMED2
LYSMD2
TAF15
UBE3A
HSPE1
HLA-C
LARS
XBP1
COA3
ATP5A1
GTF3C6
PSMC5
ATRAID
PPP1CC
RAN
POLR2J
HSP90AB1
CITED2
CELF1
RPAIN
TATDN1
TIAL1
ANKRD11
GNL3
PSMB3
UBE2R2
FBL
CNPY3
CNOT7
KLF3
AC090498.1
TIMP1
ETV6
ATXN10
AKR1C3
AC074183.4
NPM3
ITM2A
MTDH
EIF3F
NUCB2
RASGRP2
AIF1
SUPT4H1
MRPS35
M6PR
RPL17
ARPC3
TFRC
HSPD1
VAMP5
ARID4B
MAZ
NREP
SQSTM1
TP53
PSMA4
RER1
IARS
EIF2A
SNU13
CNBP
HMG20B
NKTR
MYCBP2
POLR2I
CHD1
MT-ND4L
PAIP1
MGST1
UPF3B
SYK
TCEA1
PSMD8
HIST3H2A
AIMP1
MRPS7
GNAS
CTBP1
USP8
NCKAP1L
ZNF131
TUBA1C
SMCHD1
CST3
SREK1IP1
ERP29
ZFP36L2
RAB11A
FXYD5
ZNF292
PTPN6
PHF14
WBP11
MSI2
PNRC2
TMA7
IQGAP1
CCNI
NUDC
SNRPD3
C1ORF228
GRSF1
NMI
ATXN7L3B
FAM49B
STRAP
AKAP13
HADHB
CTNNBL1
COPE
NDUFA1
VDAC1
ZNHIT3
ALDOA
ZNF593
RAD50
CRHBP
UROD
RPS19BP1
NSD1
POLR2G
TM7SF3
FAM30A
XRCC6
ANXA5
ANP32E
RNASEH2C
TSC22D3
KLHDC3
ELANE
LIMD2
CANX
DTD1
TYROBP
PSMC6
DDX3X
ATPIF1
PFDN4
NIN
S100A8
MLF2
IRF1
MYL12B
BNIP2
MRPS16
NPEPPS
UFM1
CCT8
DPP7
MGEA5
FDPS
THYN1
PSMB7
C20ORF27
MZB1
NFKBIZ
ZBTB44
LDHB
PPIL3
HNRNPUL1
FLNA
RP11-134G8.5
CD63
ASH1L
CAPZA2
EXOSC8
TAGLN2
TUFM
MRPL32
ZBTB20
TYW3
TECR
DUSP6
ABCE1
MRPL36
EAPP
MEF2C
GLRX
FIS1
NUDT3
DKC1
ISOC2
COX8A
MINOS1
NDUFC1
BEX2
SAMHD1
PRPF4B
DYNLL1
PRKACB
CAST
ARF3
SRM
LRBA
CDK1
NAP1L1
CDCA7
LINC00969
PPP1CA
ADAR
ATP5J
MIER1
TNRC6B
STAT3
CCDC59
NOLC1
SELK
BID
RTN3
ANAPC16
SEC31A
OXA1L
ABCF1
NXT1
QARS
AK2
AZU1
CDV3
SLTM
SERP1
ATF4
SAP18
THRAP3
GRHPR
PPIB
TMA16
NUDT21
CHST12
NIFK
CUEDC2
LSM14A
LAPTM5
KHSRP
CUX1
JTB
GUK1
ELAVL1
C9ORF142
EIF2AK4
DAZAP1
SREK1
NDUFA3
PPP4C
PDCD2
NUTF2
RBM17
TUBB
EIF3J
HNRNPA2B1
PPDPF
ZFAND1
RCSD1
SRSF7
CTSW
MZT2B
SDHD
MFNG
NOP56
PIN4
REXO2
MYL6
ATP8B4
PRDX4
LYZ
C1QTNF4
MRFAP1
CAT
DNMT1
ZNRD1
CAPG
EIF4A3
C19ORF43
EIF3I
PRKAR1A
CDC40
UBE2G2
MRPL13
CD47
CSNK2B
LAMP1
MIF
ZNF428
CPNE3
FTH1
TCF4
NFE2
PLD4
EIF3G
WNK1
VPS36
USP22
PRPF38B
CHD9
ADI1
FAM101B
NONO
EMP3
DENR
ZNF302
PDCD6
ARL6IP1
HNRNPF
GANAB
FCER1G
ADA
ITGA4
PRPF8
PCSK7
MAT2A
MSRB2
MKKS
SCAF11
PSMG1
CUTA
PNKD
SMARCA2
H2AFY
DDX17
PRDX1
HNRNPK
GGCT
UGP2
CNOT2
RBMX
CHCHD2
MDM4
ACADM
LYPLA1
TRIM28
PRDX3
MRPL51
EIF2S2
CASP4
SMIM24
LEPROT
TOP1
HEBP2
NDUFA4
FIBP
BAZ1B
DAP3
NDUFS5
MT-ND5
DGUOK
PPCS
MSRB3
NT5C
MPO
PTBP1
IDH3B
RAB34
ANKRD28
YWHAZ
SDF2L1
PIN1
PRPF38A
GMPS
AK3
SLU7
SLC40A1
MLEC
RSBN1
CCNB1IP1
RPA3
FAM26F
FXR1
SIAH2
AAMP
JMJD1C
ALDH1A1
CLEC2D
UBXN4
C11ORF1
TOMM40
CEP57
IDS
GYPC
NUDT1
MPC1
SURF1
COX5A
SMARCE1
TTC37
GABARAPL2
TBCA
FKBP2
HSD17B10
